epoch,accuracy,loss,val_accuracy,val_loss
0,0.35953500866889954,1.3344608545303345,0.4121037423610687,1.2959647178649902
1,0.6194298267364502,1.0221195220947266,0.639769434928894,0.9519122838973999
2,0.7827290296554565,0.5989934206008911,0.6858789920806885,0.8433526754379272
3,0.8447273969650269,0.4259881377220154,0.7118155360221863,0.7913378477096558
4,0.8820924162864685,0.3328034281730652,0.7175792455673218,0.8280863761901855
5,0.9078328013420105,0.27287596464157104,0.6829971075057983,0.9053524136543274
6,0.9247162938117981,0.22332939505577087,0.6974063515663147,0.9373425841331482
7,0.9418765306472778,0.18474194407463074,0.6887608170509338,1.0174680948257446
8,0.949349582195282,0.15964627265930176,0.6858789920806885,1.084500789642334
9,0.9587600231170654,0.1392829418182373,0.6772334575653076,1.1178478002548218
10,0.9609742760658264,0.12499398738145828,0.6772334575653076,1.1680727005004883
11,0.9676169157028198,0.10933542996644974,0.6887608170509338,1.2603659629821777
12,0.9690008163452148,0.10006570816040039,0.6743515729904175,1.2898094654083252
13,0.9690008163452148,0.09574924409389496,0.6772334575653076,1.3209866285324097
14,0.9712150692939758,0.08897422254085541,0.6858789920806885,1.3629215955734253
15,0.972045361995697,0.08483735471963882,0.6657060384750366,1.4251124858856201
16,0.9706615209579468,0.08043792843818665,0.6743515729904175,1.4263854026794434
17,0.9759202599525452,0.07577267289161682,0.6657060384750366,1.4748929738998413
18,0.9767506122589111,0.0735468938946724,0.6685879230499268,1.4991735219955444
19,0.9767506122589111,0.07071348279714584,0.6858789920806885,1.5134979486465454
20,0.976473867893219,0.06982313841581345,0.6570605039596558,1.5484589338302612
21,0.9753667116165161,0.06925700604915619,0.6599423885345459,1.5665844678878784
22,0.977027416229248,0.061701349914073944,0.6657060384750366,1.5895318984985352
23,0.9753667116165161,0.06388600170612335,0.6743515729904175,1.5972845554351807
24,0.9784113168716431,0.06258008629083633,0.6858789920806885,1.6022484302520752
